target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000074,2025/09/15,04 16 20 33 34 38,02,11 15 16 18 37 38,07,16 38,2,0,2,1,2,3-3,1-5,4-2,2-4,135,145,27,34,2,2,0.0,,"second_miss,odd_even_bias,low_high_bias"
114000075,2025/09/18,10 20 25 28 32 36,02,09 11 28 32 33 37,01,28 32,2,0,2,0,2,4-2,1-5,2-4,1-5,150,151,28,26,2,1,0.0,,"second_miss,run_pattern_mismatch,odd_even_bias"
114000076,2025/09/22,10 11 14 22 31 33,02,13 15 18 19 26 35,02,,0,1,0,1,1,4-2,3-3,4-2,3-3,126,121,22,23,2,2,0.0,,"main_zero_hit,second_hit"
114000077,2025/09/25,08 12 14 24 28 35,03,08 25 26 30 32 34,03,08,1,1,2,1,2,1-5,1-5,1-5,3-3,155,121,26,27,2,1,0.0,,"main_one_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000078,2025/09/29,12 16 17 20 27 36,03,06 13 25 26 34 37,02,,0,0,2,0,2,3-3,2-4,2-4,3-3,141,128,31,24,2,2,0.0,,"main_zero_hit,second_miss"
114000079,2025/10/02,03 05 12 24 27 30,07,10 24 27 28 32 34,07,24 27,2,1,2,1,3,1-5,3-3,1-5,3-3,155,101,24,27,2,1,0.0,,"second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000080,2025/10/06,05 06 09 14 15 37,05,04 10 15 16 31 37,08,15 37,2,0,2,0,2,3-3,4-2,4-2,5-1,113,86,33,32,2,2,0.0,,"second_miss,sum_gap_large"
114000081,2025/10/09,01 06 11 20 34 35,08,03 06 25 27 31 36,02,06,1,0,1,1,2,4-2,3-3,2-4,3-3,128,107,33,34,1,2,0.0,,"main_one_hit,second_miss,run_pattern_mismatch"
114000082,2025/10/13,04 06 08 18 24 28,01,02 05 07 19 25 28,02,28,1,0,3,1,3,4-2,0-6,4-2,4-2,86,88,26,24,1,1,0.0,,"main_one_hit,second_miss,odd_even_bias"
114000083,2025/10/16,08 09 13 16 26 35,02,01 02 13 24 33 34,06,13,1,0,1,1,2,3-3,3-3,3-3,4-2,107,107,33,27,2,2,0.0,,"main_one_hit,second_miss"
114000084,2025/10/20,08 12 19 22 24 32,05,04 05 08 09 26 27,04,08,1,0,2,0,2,3-3,1-5,4-2,3-3,79,117,23,24,2,1,0.0,,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
114000085,2025/10/23,05 09 11 21 32 35,08,03 05 18 23 35 36,03,05 35,2,0,2,1,2,4-2,5-1,3-3,3-3,120,113,33,30,2,1,0.0,,"second_miss,run_pattern_mismatch"
